ID,falsto_name,globalid,year
1,Anzinger_Forst_1,39F8BBC7-B5F6-4B78-9B52-4334C8D2B0AC,2015
2,Anzinger_Forst_1,39F8BBC7-B5F6-4B78-9B52-4334C8D2B0AC,2016
3,Anzinger_Forst_1,39F8BBC7-B5F6-4B78-9B52-4334C8D2B0AC,2017
4,Anzinger_Forst_1,39F8BBC7-B5F6-4B78-9B52-4334C8D2B0AC,2018
5,Anzinger_Forst_1,CA4E180C-1652-4C68-ADEE-414EC9A06CC9,2019
6,Anzinger_Forst_1,019A1F0D-C6D3-41A4-822E-DBE7D4155859,2020
7,Anzinger_Forst_1,019A1F0D-C6D3-41A4-822E-DBE7D4155859,2021
8,Anzinger_Forst_2,5F96BB5E-D719-43C2-A3EC-B1971ABBCBD9,2015
9,Anzinger_Forst_2,5F96BB5E-D719-43C2-A3EC-B1971ABBCBD9,2016
10,Anzinger_Forst_2,5F96BB5E-D719-43C2-A3EC-B1971ABBCBD9,2017
11,Anzinger_Forst_2,5F96BB5E-D719-43C2-A3EC-B1971ABBCBD9,2018
12,Anzinger_Forst_2,4F8F0E90-ADC6-4FBA-86DD-79D15FD88E2D,2019
13,Anzinger_Forst_2,D19CEEBA-B6B2-4948-BFAD-8502EC989914,2020
14,Anzinger_Forst_2,D19CEEBA-B6B2-4948-BFAD-8502EC989914,2021
15,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2015
16,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2016
17,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2017
18,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2018
19,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2019
20,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2020
21,Auerbach_1,B2703C38-D5A8-4615-9C24-0E809CD11C54,2021
22,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2015
23,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2016
24,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2017
25,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2018
26,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2019
27,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2020
28,Auerbach_2,8C27D77F-1F31-4A11-A688-6C8DC5589CEA,2021
29,Auerbach_i.d.OPf._1,FA548E5C-9CD1-4068-9036-0CC844B4B379,2015
30,Auerbach_i.d.OPf._1,FA548E5C-9CD1-4068-9036-0CC844B4B379,2016
31,Auerbach_i.d.OPf._1,FA548E5C-9CD1-4068-9036-0CC844B4B379,2017
32,Auerbach_i.d.OPf._1,FA548E5C-9CD1-4068-9036-0CC844B4B379,2018
33,Auerbach_i.d.OPf._1,7371B6A9-4B60-46EE-976C-ADF54E0C4C9D,2019
34,Auerbach_i.d.OPf._1,102C38CF-B13B-49AC-B96E-CD3C13AC6ACE,2020
35,Auerbach_i.d.OPf._1,102C38CF-B13B-49AC-B96E-CD3C13AC6ACE,2021
36,Auerbach_i.d.OPf._2,6670317B-646C-4600-8122-AF3ABDFD5E06,2015
37,Auerbach_i.d.OPf._2,6670317B-646C-4600-8122-AF3ABDFD5E06,2016
38,Auerbach_i.d.OPf._2,6670317B-646C-4600-8122-AF3ABDFD5E06,2017
39,Auerbach_i.d.OPf._2,6670317B-646C-4600-8122-AF3ABDFD5E06,2018
40,Auerbach_i.d.OPf._2,6771E550-344C-4B1F-BEF3-D9923CD37E72,2019
41,Auerbach_i.d.OPf._2,5C4EF956-032D-4ADE-BBBF-F98513F13964,2020
42,Auerbach_i.d.OPf._2,5C4EF956-032D-4ADE-BBBF-F98513F13964,2021
43,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2015
44,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2016
45,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2017
46,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2018
47,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2019
48,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2020
49,Aying_1,3E992497-2CB4-45C3-926F-AD2772748845,2021
50,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2015
51,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2016
52,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2017
53,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2018
54,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2019
55,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2020
56,Aying_2,0AA3B890-C2E9-4F8C-85AD-83B88C407FDD,2021
57,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2015
58,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2016
59,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2017
60,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2018
61,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2019
62,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2020
63,Bad_Birnbach_1,88F8BEAF-BF0B-4581-AF4D-31352DF701F8,2021
64,Bad_Birnbach_2,003417A2-B31D-4DBA-B3C2-9D519E7FDAEC,2015
